"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","Liability Strength5",0.2261,0,0.226104,0.9,1,1,1,1,0.871724,0.816955,,,0.856481,,,,,1.84848E-06,0.0503935,0.093123,0.967103,10.8453,9.03868,1000.15,998.887,0.115992,0.0541103,0.148491,0.202601,0.039468,0.0325382,0,0,0.856481,0.883085,2.26218E-06,0.0503939,8.27393E-07,0.960034,0,5.99868E-06,1,1,0,0,0.856481,1.84848E-06,0.0503935,0.00306344,0.0900599
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PLiabilitySignal1",0.1861,0,0.18607,0.179301,1,1,1,1,0.162625,0.170254,,,0.88639,,,,,0.0704739,7.27568E-05,0.042944,0.0850252,10.0689,9.81698,1000.02,999.905,0.11411,0.157476,0.0915199,0.248996,0.0405124,0.0833514,0,0,0.88639,0.140861,0.0705337,0.000132518,0.000119522,0.105207,0,-0.80637,1,1,0,0,0.88639,0.0704739,7.27568E-05,0.0392929,0.0036513
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PLiabilitySignal2",0.2124,0,0.21239,0.292925,1,1,1,1,0.1,0.254658,,,1,,,,,0,0,0,,10.1211,9.76642,1000.04,999.875,0.1125,0.16103,0.184161,0.34519,0.0443775,0.154153,0,0,1,0.177329,0,0,0,0.230751,0,-0.21118,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PLiabilitySignal3",0.2031,0,0.20309,0.499995,1,1,1,1,0.659046,0.443821,,,0.443762,,,,,0,0.0140427,0.542195,0.336405,10.4357,9.43147,1000.07,999.352,0.132832,0.218343,0.197723,0.416065,0.197136,0.150683,0,0,0.443762,0.718817,0,0.0140427,0,0.499993,0,4E-05,1,1,0,0,0.443762,0,0.0140427,0.359798,0.182397
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PLiabilitySignal4",0.2124,0,0.21239,0.707075,1,1,1,1,0.9,0.648127,,,0.60903,,,,,0,0.0365797,0.35439,0.598225,10.739,9.13517,1000.12,998.94,0.12579,0.178253,0.152551,0.330804,0.164296,0.0918542,0,0,0.60903,0.9,0,0.0365797,0,0.769249,0,0.21118,1,1,0,0,0.60903,0,0.0365797,0.142385,0.212005
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PLiabilitySignal5",0.1861,0,0.18606,0.820695,1,1,1,1,0.9,0.753776,,,0.756661,,,,,0,0.0460087,0.19733,0.789257,10.8314,9.04874,1000.14,998.862,0.1199,0.111809,0.139867,0.251676,0.0949966,0.0500061,0,0,0.756661,0.9,0,0.0460087,0,0.894788,0,0.80641,1,1,0,0,0.756661,0,0.0460087,0.0415858,0.155744
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","DLiabilitySignal1",0.1861,0,0.186069,0.179304,1,1,1,1,0.249395,0.1,,,0.747309,,,,,0.0343973,0,0.218294,0.196039,10.0472,9.83208,1000.01,999.876,0.120686,0.141567,0.0897899,0.231357,0.0515148,0.0919854,0,0,0.747309,0.1,0.0343973,0,0,0.105211,0,0.806395,1,1,0,0,0.747309,0.0343973,0,0.1755,0.0427942
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","DLiabilitySignal2",0.2124,0,0.212394,0.292924,1,1,1,1,0.350494,0.1,,,0.606582,,,,,0.0242515,0,0.369167,0.389416,10.1351,9.73853,1000.02,999.717,0.126344,0.165143,0.153335,0.318479,0.095035,0.160467,0,0,0.606582,0.1,0.0242515,0,0,0.230749,0,0.211167,1,1,0,0,0.606582,0.0242515,0,0.225408,0.143759
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","DLiabilitySignal3",0.2031,0,0.20309,0.499998,1,1,1,1,0.55107,0.326997,,,0.445445,,,,,0.00769087,0,0.546864,0.659372,10.4295,9.43747,1000.07,999.311,0.133007,0.237372,0.203426,0.440798,0.156523,0.195506,0,0,0.445445,0.274707,0.00769087,0,0,0.499998,0,-1.48446E-05,1,1,0,0,0.445445,0.00769087,0,0.186278,0.360587
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","DLiabilitySignal4",0.2124,0,0.212391,0.707073,1,1,1,1,0.740808,0.874325,,,0.958455,,,,,0,0.0414588,0,,10.7667,9.12078,1000.14,999.06,0.1125,0.185167,0.159799,0.344966,0.153873,0.04576,0,0,0.958455,0.815342,4.30868E-05,0.0415019,8.61735E-05,0.769248,0,-0.211192,1,1,0,0,0.958455,0,0.0414588,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","DLiabilitySignal5",0.1861,0,0.186057,0.820699,1,1,1,1,0.826868,0.869897,,,0.944138,,,,,0,0.0558408,0,,10.8122,9.07533,1000.15,998.978,0.1125,0.0943577,0.162285,0.256642,0.0823956,0.037854,0,0,0.944138,0.860646,1.05801E-05,0.0558514,2.11601E-05,0.894793,0,-0.806366,1,1,0,0,0.944138,0,0.0558408,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","MutOptLiability4",0.0013,0,0.00134521,0.5,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.5,10.425,9.425,1000.05,999.163,0.15,0.260473,0.213293,0.473766,0.252364,0.245287,0,0,0,,0,0,0,0.5,0,4,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","MutOptLiability3",0.0146,0,0.0146465,0.500001,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.500001,10.425,9.425,1000.05,999.163,0.15,0.237312,0.186658,0.42397,0.222255,0.214657,0,0,0,,0,0,0,0.500001,0,3,1,1,0,0,0,0,0,0.499999,0.500001
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","MutOptLiability2",0.0776,0,0.0776297,0.499993,1,1,1,1,0.81294,0.182011,,,0,,,,,0,0,1,0.499991,10.425,9.42501,1000.05,999.163,0.15,0.209376,0.154534,0.36391,0.18594,0.177714,0,0,0,,0,0,0,0.499991,0,2,1,1,0,0,0,0,0,0.500009,0.499991
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","MutOptLiability1",0.226,0,0.226017,0.499999,1,1,1,1,0.614797,0.374769,,,0.573994,,,,,0,0.015313,0.410693,0.499999,10.4376,9.43452,1000.07,999.315,0.127901,0.167326,0.144198,0.311525,0.12427,0.120509,0,0,0.573994,0.489327,0,0.015313,0,0.499998,0,1,1,1,0,0,0.573994,0,0.015313,0.205347,0.205346
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","MutOptLiability0",0.3607,0,0.360723,0.499994,1,1,1,1,0.538245,0.462087,,,0.848308,,,,,0.0177429,0.024297,0.109652,0.45638,10.4412,9.44222,1000.08,999.405,0.116612,0.144007,0.138446,0.282453,0.0870399,0.0855571,0,0,0.848308,0.502,0.0177429,0.024297,0,0.499992,0,0,1,1,0,0,0.848308,0.0177429,0.024297,0.059609,0.0500429
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","MutOptLiability-1",0.226,0,0.226021,0.499996,1,1,1,1,0.46897,0.532466,,,0.937784,,,,,0.0227894,0.0255386,0.013888,0.0930672,10.4415,9.44546,1000.09,999.457,0.113021,0.159532,0.160039,0.319571,0.0914201,0.091323,0,0,0.937784,0.503363,0.0227894,0.0255386,0,0.499995,0,-1,1,1,0,0,0.937784,0.0227894,0.0255386,0.0125959,0.0012926
